#{"t_start": 1766172363.9124959, "env_id": "None"}
r,l,t
-10.0,6,832.282655
-10.0,6,832.286211
-10.0,6,832.289675
-10.0,6,832.293122
-10.0,6,832.296676
-10.0,6,846.1925
-10.0,6,846.197356
-10.0,6,846.20233
-10.0,6,846.207217
-10.0,6,846.212071
-10.0,6,846.217396
-10.0,6,846.222152
-10.0,6,846.227252
-10.0,6,846.232235
-10.0,6,846.237077
-10.0,5,860.926115
-10.0,5,860.930009
-10.0,5,860.933822
-10.0,5,860.937754
-10.0,5,860.941639
-10.0,5,860.944522
-10.0,5,860.947375
-10.0,5,860.950343
-10.0,5,860.953219
-10.0,5,860.957103
-10.0,5,875.300037
-10.0,5,875.303989
-10.0,5,875.30793
-10.0,5,875.311855
-10.0,5,875.315368
-10.0,5,875.318465
-10.0,5,875.321505
-10.0,5,875.325786
-10.0,5,875.329826
-10.0,5,875.333889
-10.0,5,889.259041
-10.0,5,889.261952
-10.0,5,889.265163
-10.0,5,889.269404
-10.0,5,889.272386
-10.0,5,889.275259
-10.0,5,889.27815
-10.0,5,889.281131
-10.0,5,889.285325
-10.0,5,889.353822
-10.0,5,903.87786
-10.0,5,903.880885
-10.0,5,903.883861
-10.0,5,903.886782
-10.0,5,903.889694
-10.0,5,903.895565
-10.0,5,903.89853
-10.0,5,903.901478
-10.0,5,903.904527
-10.0,5,903.907586
-10.0,10,918.809143
-10.0,10,918.815228
-10.0,10,918.821123
-10.0,10,918.827172
-10.0,10,918.833081
-10.0,10,918.839067
-10.0,10,918.845057
-10.0,10,918.850929
-10.0,10,918.856693
-10.0,10,918.862258
-10.0,6,932.848541
-10.0,6,932.854335
-10.0,6,932.857908
-10.0,6,932.861404
-10.0,6,932.864907
-10.0,6,932.869027
-10.0,6,932.872964
-10.0,6,932.877893
-10.0,6,932.882329
-10.0,6,932.886738
-10.0,3,946.897997
-10.0,3,946.900481
-10.0,3,946.902932
-10.0,3,946.905421
-10.0,3,946.907857
-10.0,3,946.910288
-10.0,3,946.912717
-10.0,3,946.915169
-10.0,3,946.917619
-10.0,3,946.920053
-10.0,3,960.92749
-10.0,3,960.932126
-10.0,3,960.934593
-10.0,3,960.937026
-10.0,3,960.939481
-10.0,3,960.941315
-10.0,3,960.943114
-10.0,3,960.944954
-10.0,3,960.947242
-10.0,3,960.949858
-10.0,11,976.243768
-10.0,11,976.252358
-10.0,11,976.261041
-10.0,11,976.269804
-10.0,11,976.278525
-10.0,11,976.287019
-10.0,11,976.295028
-10.0,11,976.301026
-10.0,11,976.310319
-10.0,11,976.31633
-10.0,3,990.427481
-10.0,3,990.430003
-10.0,3,990.43235
-10.0,3,990.434216
-10.0,3,990.438554
-10.0,3,990.441086
-10.0,3,990.443614
-10.0,3,990.446172
-10.0,3,990.448679
-10.0,3,990.451154
-10.0,12,1004.658261
-10.0,12,1004.67112
-10.0,12,1004.682357
-10.0,12,1004.690782
-10.0,12,1004.698326
-10.0,12,1004.707892
-10.0,12,1004.717914
-10.0,12,1004.726448
-10.0,12,1004.733157
-10.0,12,1004.741363
-10.0,10,1018.877743
-10.0,10,1018.886642
-10.0,10,1018.892238
-10.0,10,1018.899076
-10.0,10,1018.906547
-10.0,10,1018.914315
-10.0,10,1018.923085
-10.0,10,1018.931687
-10.0,10,1018.940322
-10.0,10,1018.949135
-10.0,12,1034.42471
-10.0,12,1034.434233
-10.0,12,1034.445728
-10.0,12,1034.455241
-10.0,12,1034.465534
-10.0,12,1034.475206
-10.0,12,1034.485695
-10.0,12,1034.496291
-10.0,12,1034.50679
-10.0,12,1034.517432
-10.0,8,1050.171076
-10.0,8,1050.177406
-10.0,8,1050.18374
-10.0,8,1050.190134
-10.0,8,1050.196744
-10.0,8,1050.205562
-10.0,8,1050.21047
-10.0,8,1050.215346
-10.0,8,1050.221139
-10.0,8,1050.227387
-10.0,9,1065.257195
-10.0,9,1065.262496
-10.0,9,1065.267886
-10.0,9,1065.274889
-10.0,9,1065.281835
-10.0,9,1065.287833
-10.0,9,1065.292987
-10.0,9,1065.298721
-10.0,9,1065.30561
-10.0,9,1065.312476
-10.0,9,1080.30763
-10.0,9,1080.315875
-10.0,9,1080.321058
-10.0,9,1080.326613
-10.0,9,1080.333895
-10.0,9,1080.341088
-10.0,9,1080.348439
-10.0,9,1080.355603
-10.0,9,1080.362713
-10.0,9,1080.369827
-10.0,8,1095.768432
-10.0,8,1095.77772
-10.0,8,1095.784072
-10.0,8,1095.790575
-10.0,8,1095.796788
-10.0,8,1095.803005
-10.0,8,1095.80907
-10.0,8,1095.813897
-10.0,8,1095.818726
-10.0,8,1095.825046
-10.0,8,1110.720176
-10.0,8,1110.724902
-10.0,8,1110.729557
